Masse - Plot 0	Strom - Plot 0	
22,031	0,044	
22,154	0,044	
22,247	0,044	
22,339	0,044	
22,422	0,044	
22,515	0,044	
22,649	0,044	
22,732	0,044	
22,868	0,044	
22,909	0,044	
23,045	0,044	
23,098	0,044	
23,234	0,095	
23,276	0,044	
23,413	0,044	
23,455	0,044	
23,592	0,044	
23,635	39,41	
23,773	89,573	
24,007	42,567	
24,146	16,442	
24,232	0,095	
24,372	0,044	
24,469	0,044	
24,555	0,095	
24,695	2,59	
24,739	12,572	
24,880	17,41	
24,934	10,585	
25,065	4,678	
25,163	1,062	
25,262	0,095	
25,405	0,095	
25,493	0,145	
25,636	60,392	
26,157	15,576	
26,302	1,317	
26,358	0,044	
26,493	0,044	
26,594	1,215	
26,695	3,507	
26,785	8,548	
26,932	8,65	
26,977	2,946	
27,125	2,03	
27,181	0,247	
27,318	0,044	
27,420	0,044	
27,523	0,044	
27,615	0,095	
27,764	0,145	
27,867	0,298	
27,960	0,247	
28,110	0,298	
28,214	0,4	
28,364	0,349	
28,457	0,095	
28,609	0,044	
28,714	0,044	
28,866	0,145	
28,959	0,095	
29,112	0,095	
29,171	0,044	
29,312	0,044	
29,371	0,044	
29,525	0,044	
29,573	0,044	
29,727	0,095	
29,774	0,044	
29,929	0,095	
29,977	0,044	
30,132	0,095	
30,180	0,095	
30,336	0,095	
30,396	0,044	
30,552	0,044	
30,601	0,095	
30,758	0,095	
30,806	0,095	
30,963	0,095	
31,219	0,044	
31,377	0,044	
31,438	0,095	
31,597	0,145	
31,695	0,502	
31,806	0,706	
31,904	0,706	
32,015	0,502	
32,114	0,4	
32,225	0,196	
32,337	0,044	
32,647	0,044	
32,760	0,044	
32,872	0,044	
32,972	0,044	
33,085	0,095	
33,185	0,044	
33,298	0,044	
33,512	0,044	
33,626	0,044	
33,727	0,044	
33,841	0,095	
33,955	0,095	
34,057	0,044	
34,172	0,044	
34,274	0,044	
34,389	0,044	
34,504	0,095	
34,606	0,145	
34,722	0,349	
34,824	0,4	
34,940	0,298	
35,056	0,196	
35,160	0,196	
35,497	0,706	
35,614	3,201	
35,718	10,789	
35,835	19,752	
35,939	16,951	
36,057	5,544	
36,175	1,062	
36,280	0,196	
36,398	0,044	
36,503	0,145	
36,622	0,298	
36,741	0,757	
36,847	1,062	
36,966	0,858	
37,072	0,4	
37,191	0,247	
37,298	0,145	
37,418	0,298	
37,538	1,164	
37,645	2,997	
37,765	6,002	
37,872	6,155	
37,993	3,507	
38,114	1,164	
38,222	0,655	
38,343	0,247	
38,451	0,145	
38,573	0,247	
38,695	0,451	
38,804	0,604	
38,926	0,553	
39,035	0,4	
39,157	0,349	
39,280	0,196	
39,390	0,145	
39,513	0,349	
39,623	0,604	
39,746	0,96	
39,870	1,011	
39,980	0,757	
40,104	0,451	
40,215	0,4	
40,339	0,247	
40,464	0,044	
40,575	0,044	
40,700	0,095	
40,811	0,044	
40,937	0,095	
41,062	0,044	
41,174	0,044	
41,300	0,044	
41,412	0,044	
41,538	0,145	
41,665	0,247	
41,778	0,4	
41,905	0,451	
42,017	0,451	
42,145	0,349	
42,272	0,247	
42,386	0,095	
42,513	0,145	
42,627	0,196	
42,755	0,145	
42,869	0,247	
42,998	0,196	
43,127	0,196	
43,241	0,145	
43,370	0,095	
43,485	0,044	
43,615	0,044	
43,744	0,044	
43,860	0,044	
43,990	0,095	
44,106	0,095	
44,236	0,044	
44,366	0,095	
44,483	0,044	
44,614	0,044	
44,730	0,044	
44,861	0,044	
