Masse - Plot 0	Strom - Plot 0	
0.000	0.044	
0.000	0.044	
0.003	0.095	
0.003	0.095	
0.006	0.044	
0.006	0.095	
0.009	0.095	
0.009	0.044	
0.013	0.044	
0.014	0.044	
0.017	0.095	
0.018	0.095	
0.023	0.044	
0.024	0.095	
0.029	0.044	
0.031	0.095	
0.036	0.044	
0.038	0.044	
0.044	0.095	
0.046	0.095	
0.053	0.044	
0.055	0.095	
0.062	0.044	
0.064	0.044	
0.072	0.044	
0.074	0.095	
0.083	0.044	
0.085	0.044	
0.095	0.044	
0.097	0.044	
0.107	0.044	
0.109	0.044	
0.120	0.044	
0.123	0.044	
0.136	0.044	
0.148	0.095	
0.152	0.145	
0.164	0.145	
0.167	0.095	
0.180	0.044	
0.197	0.044	
0.200	0.044	
0.214	0.095	
0.218	0.095	
0.233	0.044	
0.236	0.044	
0.252	0.044	
0.256	0.044	
0.272	0.044	
0.276	0.044	
0.292	0.044	
0.314	0.044	
0.318	0.044	
0.336	0.044	
0.341	0.044	
0.388	0.044	
0.412	0.044	
0.432	0.044	
0.459	0.044	
0.464	0.044	
0.485	0.044	
0.491	0.044	
0.513	0.044	
0.599	0.044	
0.606	0.044	
0.668	0.044	
0.694	0.044	
0.700	0.044	
0.734	0.044	
0.802	0.044	
0.830	0.145	
0.836	0.044	
0.865	0.095	
0.873	0.044	
0.902	0.095	
0.909	0.044	
0.938	0.044	
0.945	0.044	
0.977	0.044	
0.985	2.692	
1.015	0.095	
1.023	0.044	
1.056	0.044	
1.063	0.095	
1.095	0.044	
1.103	0.044	
1.137	0.095	
1.145	0.044	
1.178	0.044	
1.186	0.095	
1.222	0.044	
1.230	0.044	
1.264	0.044	
1.273	0.095	
1.310	0.044	
1.318	0.044	
1.353	0.044	
1.362	0.044	
1.400	0.095	
1.409	0.044	
1.446	0.044	
1.454	0.044	
1.494	0.044	
1.503	0.095	
1.541	0.145	
1.550	0.145	
1.591	0.095	
1.600	0.044	
1.690	0.044	
1.700	0.044	
1.740	0.044	
1.750	0.095	
1.791	0.095	
1.803	0.095	
1.844	0.044	
1.854	0.044	
1.896	0.044	
1.909	0.044	
1.952	0.044	
1.962	0.044	
2.005	0.095	
2.018	0.044	
2.062	0.044	
2.072	0.044	
2.175	0.044	
2.186	0.044	
2.232	0.044	
2.245	0.044	
2.281	0.044	
2.302	0.044	
2.400	0.044	
2.422	0.044	
2.459	0.044	
2.671	0.044	
2.709	0.044	
2.736	0.044	
2.775	0.044	
2.839	0.044	
2.866	0.044	
2.903	0.044	
2.971	0.044	
3.000	0.044	
3.037	0.044	
3.066	0.044	
3.136	0.044	
3.175	0.044	
3.246	0.044	
3.275	0.044	
3.315	0.044	
3.388	0.044	
3.418	0.044	
3.458	0.044	
3.488	0.044	
3.533	0.044	
3.560	0.044	
3.635	0.044	
3.680	0.044	
3.708	0.044	
3.860	0.044	
3.938	0.095	
3.971	0.044	
4.000	0.044	
4.047	0.044	
4.080	0.044	
4.109	0.044	
4.157	0.044	
4.190	0.044	
4.239	0.044	
4.268	0.044	
4.317	0.095	
4.351	0.044	
4.381	0.044	
4.431	0.044	
4.465	0.044	
4.515	0.095	
4.546	0.044	
4.596	0.044	
4.631	0.044	
4.682	0.044	
4.713	0.095	
4.765	0.095	
4.800	0.044	
4.852	0.044	
4.884	0.044	
5.288	0.044	
5.326	0.044	
5.380	0.044	
5.414	0.044	
5.469	0.044	
5.507	0.044	
5.597	0.044	
5.691	0.044	
5.839	0.044	
5.878	0.044	
5.936	0.044	
6.029	0.044	
6.069	0.044	
6.163	0.044	
6.203	0.044	
6.239	0.044	
6.298	0.044	
6.376	0.044	
6.435	0.044	
6.477	0.044	
6.537	0.044	
6.574	0.044	
6.634	0.044	
6.676	0.044	
6.737	0.044	
6.775	0.044	
6.837	0.044	
6.879	0.044	
6.941	0.044	
6.979	0.044	
7.042	0.044	
7.085	0.044	
7.148	0.044	
7.186	0.044	
7.250	0.044	
7.294	0.044	
7.357	0.044	
7.397	0.044	
7.461	0.044	
7.481	0.044	
7.545	0.044	
7.570	0.044	
7.675	0.044	
7.740	0.044	
7.761	0.044	
7.826	0.044	
7.852	0.044	
8.159	0.044	
8.200	0.044	
8.268	0.044	
8.315	0.044	
8.383	0.044	
8.425	0.044	
8.493	0.044	
8.541	0.044	
8.610	0.044	
8.975	0.044	
9.024	0.044	
9.138	0.044	
9.331	0.044	
9.375	0.044	
9.448	0.044	
9.475	0.044	
9.593	0.044	
9.666	0.044	
9.717	0.044	
9.790	0.044	
9.835	0.044	
10.035	0.044	
10.081	0.044	
10.156	0.044	
10.208	0.044	
10.330	0.044	
10.406	0.044	
10.458	0.044	
10.505	0.044	
10.582	0.044	
10.635	0.044	
10.712	0.044	
10.759	0.044	
10.836	0.044	
10.890	0.145	
10.938	0.145	
11.016	0.095	
11.197	0.044	
11.331	0.044	
11.514	0.044	
11.594	0.044	
11.644	0.044	
11.724	0.044	
11.780	61.207	
11.992	72.614	
12.049	1.47	
12.131	0.044	
12.181	0.095	
12.238	0.044	
12.403	0.044	
12.454	0.044	
12.512	0.044	
