Masse - Plot 0	Strom - Plot 0	
0,000	0,196	
0,000	0,095	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,095	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,095	
0,000	0,044	
0,001	0,044	
0,002	0,095	
0,003	0,044	
0,004	0,044	
0,007	0,044	
0,007	0,044	
0,010	0,095	
0,011	0,145	
0,015	0,145	
0,016	0,145	
0,021	0,145	
0,022	0,044	
0,027	0,044	
0,035	0,044	
0,045	0,044	
0,158	0,044	
0,162	0,044	
0,175	0,044	
0,194	0,044	
0,197	0,044	
0,213	0,044	
0,217	0,044	
0,233	0,095	
0,237	0,044	
0,254	0,044	
0,259	0,095	
0,276	0,095	
0,280	0,044	
0,298	0,044	
0,303	0,044	
0,322	0,044	
0,327	0,044	
0,352	0,044	
0,372	0,044	
0,404	0,044	
0,431	0,044	
0,460	0,044	
0,483	0,044	
0,488	0,044	
0,512	0,044	
0,519	0,044	
0,543	0,044	
0,549	0,044	
0,574	0,044	
0,582	0,044	
0,607	0,044	
0,614	0,044	
0,640	0,044	
0,648	0,044	
0,675	0,044	
0,682	0,044	
0,710	0,044	
0,718	0,044	
0,747	0,044	
0,829	0,044	
0,869	0,044	
0,900	0,044	
0,990	0,451	
1,024	0,044	
1,034	0,044	
1,068	0,044	
1,077	0,095	
1,112	0,044	
1,166	0,044	
1,203	0,044	
1,211	0,044	
1,251	0,044	
1,260	0,044	
1,297	0,044	
1,306	0,044	
1,347	0,044	
1,356	0,044	
1,396	0,044	
1,405	0,044	
1,447	0,044	
1,457	0,044	
1,498	0,044	
1,551	0,044	
1,561	0,044	
1,603	0,044	
1,613	0,044	
1,658	0,044	
1,769	0,044	
1,780	0,044	
1,825	0,044	
1,836	0,044	
1,941	0,044	
1,952	0,044	
2,002	0,044	
2,013	0,044	
2,061	0,044	
2,072	0,044	
2,121	0,044	
2,135	0,044	
2,184	0,145	
2,196	0,044	
2,246	0,044	
2,261	0,044	
2,312	0,044	
2,375	0,145	
2,390	0,044	
2,442	0,095	
2,454	0,044	
2,507	0,145	
2,576	0,145	
2,589	0,044	
2,643	0,145	
2,659	0,145	
2,714	0,145	
2,727	0,145	
2,783	0,145	
2,799	0,095	
2,842	0,145	
2,869	0,095	
2,912	0,145	
2,943	0,044	
2,987	0,145	
3,014	0,044	
3,059	0,095	
3,135	0,095	
3,209	0,044	
3,395	0,095	
3,472	0,044	
3,520	0,044	
3,598	0,044	
3,631	0,044	
3,665	0,044	
3,745	0,044	
3,795	0,044	
3,829	0,044	
3,880	0,044	
3,962	0,044	
3,997	0,044	
4,048	0,044	
4,080	0,044	
4,132	0,044	
4,168	0,095	
4,217	0,044	
4,253	0,044	
4,306	0,044	
4,343	0,095	
4,392	0,044	
4,430	0,044	
4,484	0,044	
4,521	0,044	
4,572	0,044	
4,610	0,044	
4,665	0,044	
4,703	0,095	
4,738	0,044	
4,793	0,095	
4,832	0,095	
4,889	0,095	
4,924	0,095	
4,981	0,095	
5,020	0,095	
5,074	0,145	
5,114	0,145	
5,154	0,095	
5,212	0,145	
5,248	0,145	
5,307	0,095	
5,348	0,044	
5,407	0,095	
5,444	0,044	
5,504	0,044	
5,546	0,044	
5,606	0,044	
5,644	0,044	
5,705	0,044	
5,747	0,044	
5,809	0,095	
5,847	0,044	
5,909	0,095	
5,952	0,044	
6,010	0,044	
6,053	0,044	
6,097	0,044	
6,161	0,095	
6,200	0,044	
6,264	0,095	
6,308	0,044	
6,373	0,044	
6,413	0,044	
6,478	0,044	
6,523	0,044	
6,588	0,044	
6,695	0,095	
6,741	0,044	
6,808	0,044	
6,849	0,044	
6,916	0,044	
6,963	0,044	
7,031	0,044	
7,072	0,044	
7,141	0,044	
7,188	0,044	
7,252	0,044	
7,300	0,044	
7,348	0,044	
7,390	0,044	
7,460	0,044	
7,482	0,044	
7,552	0,044	
7,579	0,044	
7,650	0,044	
7,693	0,095	
7,765	0,095	
7,814	0,095	
7,886	0,044	
7,930	0,044	
8,003	0,044	
8,053	0,095	
8,126	0,044	
8,171	0,044	
8,244	0,044	
8,295	0,044	
8,363	0,095	
8,415	0,044	
8,489	0,044	
8,541	0,044	
8,610	0,044	
8,662	0,044	
8,738	0,044	
8,790	0,095	
8,861	0,044	
8,913	0,044	
8,967	0,044	
9,014	0,044	
9,115	0,044	
9,222	0,044	
9,300	0,044	
9,348	0,044	
9,427	0,044	
9,481	0,044	
9,609	0,044	
9,874	0,044	
9,929	0,095	
10,010	0,044	
10,060	0,044	
10,142	0,044	
10,198	0,044	
10,280	0,044	
10,413	0,044	
10,471	0,044	
10,554	0,095	
10,605	0,044	
10,688	0,044	
10,714	0,044	
10,798	0,044	
10,857	0,044	
10,909	0,095	
10,993	0,145	
11,026	0,095	
11,105	0,095	
11,164	0,044	
11,223	0,044	
11,276	0,095	
11,362	0,044	
11,422	0,095	
11,509	0,044	
11,563	0,044	
11,650	0,044	
11,677	0,044	
11,764	0,044	
11,798	97,721	
12,030	73,327	
12,091	1,164	
12,173	0,044	
12,235	0,044	
12,388	0,044	
12,534	0,044	
12,597	0,044	
12,688	0,044	
12,744	0,095	
12,835	3,761	
12,899	15,424	
12,991	8,497	
13,048	1,724	
13,205	0,044	
13,356	0,044	
13,450	0,095	
13,515	0,044	
13,602	0,044	
13,667	0,044	
13,762	0,095	
13,828	0,145	
13,916	0,298	
13,983	0,145	
14,049	0,145	
14,145	0,044	
14,204	0,044	
14,301	0,044	
14,368	0,145	
14,428	0,044	
14,496	0,044	
14,556	0,044	
14,623	0,095	
14,691	0,044	
14,752	0,044	
14,820	0,095	
14,881	0,145	
14,949	0,145	
15,018	0,145	
15,079	0,095	
15,179	0,044	
15,248	0,044	
15,310	0,044	
15,410	0,044	
15,441	0,044	
15,542	0,044	
15,581	0,145	
15,682	0,145	
15,744	0,706	
15,815	2,183	
15,878	3,252	
15,980	2,845	
16,019	1,826	
16,114	0,502	
16,185	0,044	
16,320	0,044	
16,456	0,044	
16,665	0,044	
16,737	0,247	
16,802	1,164	
16,874	1,571	
16,947	1,47	
17,012	1,47	
17,085	0,502	
17,151	0,044	
17,224	0,044	
17,298	0,044	
17,364	0,044	
17,470	0,044	
